City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,makinsk,52.6292,70.4169,2.63,51,0,2.79,KZ,1697125086
173,rosetta,31.4044,30.4164,24.08,67,0,4.91,EG,1697125086
174,umluj,25.0213,37.2685,28.77,66,0,5.7,SA,1697125086
175,tolanaro,-25.0319,46.9987,21.04,94,75,7.2,MG,1697125086
176,sao gabriel da cachoeira,-0.1303,-67.0892,32.89,62,0,2.06,BR,1697125086
177,punta arenas,-53.15,-70.9167,11.06,62,40,10.29,CL,1697125087
178,hatillo,18.4863,-66.8254,32.87,79,82,4.02,PR,1697124815
179,manadhoo,5.7667,73.3833,27.34,76,99,1.8,MV,1697125087
180,vadso,70.0744,29.7487,3.49,93,75,11.32,NO,1697125087
181,thief river falls,48.1191,-96.1812,9.53,87,0,4.63,US,1697125087
182,edd,13.9297,41.6925,32.79,57,76,4.71,ER,1697125087
183,nikolayevsk-on-amure,53.1406,140.73,8.18,80,79,2.65,RU,1697125087
184,yanam,16.7333,82.2167,25.46,84,42,1.26,IN,1697125087
185,inari,68.906,27.0288,2.11,97,100,7.68,FI,1697125087
186,bamboo flat,11.7,92.7167,26.05,94,75,0.0,IN,1697125088
187,tura,25.5198,90.2201,22.19,84,1,1.24,IN,1697125088
188,cabo san lucas,22.8909,-109.9124,28.75,68,0,7.2,MX,1697125013
189,mariental,-24.6333,17.9667,29.09,3,1,8.05,NA,1697125088
190,isafjordur,66.0755,-23.124,2.02,93,100,10.29,IS,1697125088
191,pacific grove,36.6177,-121.9166,12.83,87,0,1.54,US,1697125088
192,noumea,-22.2763,166.4572,15.99,84,65,4.41,NC,1697124615
193,aasiaat,68.7098,-52.8699,-7.41,75,72,5.76,GL,1697125088
194,nova vicosa,-17.8919,-39.3719,28.65,55,8,6.94,BR,1697125088
195,qaqortoq,60.7167,-46.0333,3.68,78,99,1.5,GL,1697125089
196,kadoma,34.7333,135.5833,17.99,55,2,1.03,JP,1697125089
197,wailua homesteads,22.0669,-159.378,23.44,88,75,5.66,US,1697125089
198,iquique,-20.2208,-70.1431,19.02,66,13,3.38,CL,1697125089
199,georgievka,49.3314,81.5761,14.48,55,100,2.0,KZ,1697125089
200,newman,37.3138,-121.0208,13.91,64,31,0.89,US,1697125089
201,ancud,-41.8697,-73.8203,10.59,59,10,2.86,CL,1697125089
202,trail,49.0998,-117.7022,11.65,89,12,0.57,CA,1697124960
203,kapuskasing,49.4169,-82.4331,5.05,93,100,4.63,CA,1697125090
204,mokhsogollokh,61.4681,128.9203,1.79,96,100,0.63,RU,1697125090
205,arraial do cabo,-22.9661,-42.0278,31.98,62,0,7.72,BR,1697125090
206,carnarvon,-24.8667,113.6333,23.14,65,93,5.75,AU,1697125090
207,kavieng,-2.5744,150.7967,27.55,77,81,1.09,PG,1697125090
208,bantay,17.5847,120.3892,26.09,81,61,2.05,PH,1697125090
209,pozzallo,36.7305,14.8499,26.36,65,0,2.72,IT,1697125090
210,puerto baquerizo moreno,-0.9,-89.6,26.55,74,20,6.69,EC,1697125091
211,lebu,-37.6167,-73.65,11.45,64,0,9.06,CL,1697125091
212,les avirons,-21.2418,55.3394,23.05,69,100,1.54,RE,1697125091
213,tazacorte,28.629,-17.9293,29.54,51,0,3.09,ES,1697125091
214,hithadhoo,-0.6,73.0833,27.84,70,27,6.3,MV,1697125091
215,nieuw amsterdam,5.8833,-55.0833,36.68,55,40,4.12,SR,1697125091
216,faya-largeau,17.9257,19.1043,36.74,14,5,4.54,TD,1697125091
217,turpan,42.9333,89.1667,23.08,20,0,0.89,CN,1697125091
218,holmsund,63.706,20.3641,6.08,60,20,6.71,SE,1697125092
219,east ballina,-28.8667,153.5833,18.96,82,0,8.23,AU,1697125092
220,vanino,49.0869,140.2543,12.18,74,13,2.93,RU,1697125092
221,rio grande,-32.035,-52.0986,18.06,58,84,6.8,BR,1697124815
222,bokkos,9.3,9.0,17.9,86,79,7.45,NG,1697125092
223,tofol,5.3248,163.0078,28.48,75,68,4.18,FM,1697125092
224,axim,4.8699,-2.2405,26.08,85,97,2.92,GH,1697125092
225,linxia chengguanzhen,35.6003,103.2064,7.39,88,100,0.44,CN,1697125092
226,isiro,2.7739,27.616,23.16,78,14,1.06,CD,1697125093
227,tralee,52.2704,-9.7026,14.14,88,100,1.54,IE,1697125093
228,pallasovka,50.05,46.8833,8.08,39,47,7.52,RU,1697125093
229,lubang,13.8584,120.124,28.46,78,41,6.59,PH,1697125093
230,tumpat,6.1978,102.171,26.99,94,20,1.54,MY,1697125093
231,salinas,36.6777,-121.6555,13.06,85,0,1.54,US,1697125093
